
100,100,100,42,24,4,92,2147483647,false,0,210,4,,100,Go to PPill,,100,120,48,0,0,null
101,101,130,54,80,4,89,2147483647,false,0,207,4,,101,Run Away,,101,90,57,0,0,null
102,102,160,66,2147483647,4,65,2147483647,false,0,204,4,,102,Run Away,,102,60,57,0,0,null
103,103,220,90,2147483647,4,32,2147483647,false,0,198,4,,103,Run Away,,103,30,45,0,0,null
104,104,220,111,60,4,2147483647,2147483647,false,0,198,4,,104,Run Away,,104,30,48,0,0,null
105,105,220,123,48,4,2147483647,2147483647,false,0,198,4,,105,Run Away,,105,30,48,0,0,null
106,106,250,135,60,4,2147483647,2147483647,false,0,195,4,,106,Go to PPill,,106,0,60,0,0,null
107,107,250,159,2147483647,36,39,2147483647,false,0,195,4,,107,Run Away,,107,0,48,0,0,null
108,108,250,171,2147483647,24,61,2147483647,false,0,195,4,,108,Run Away,,108,10,48,0,0,null
109,109,250,195,2147483647,2147483647,19,2147483647,false,0,195,4,,109,Run Away,,109,80,52,0,0,null
110,110,250,207,2147483647,2147483647,5,2147483647,false,0,195,4,,110,Run Away,,110,110,52,0,0,null
111,111,260,219,56,4,71,2147483647,false,0,194,4,,111,Go to PPill,,111,460,92,0,1,null
112,112,330,247,2147483647,4,19,2147483647,false,0,187,4,,112,Go to PPill,,112,390,92,0,1,null
113,113,360,259,2147483647,4,5,2147483647,false,0,184,4,,113,Run Away,,113,430,108,0,1,null
114,114,720,311,85,4,2147483647,31,true,163,173,3,,114,Run Away,,114,100,68,0,0,null
115,115,720,339,2147483647,4,18,49,true,135,173,3,,115,Run Away,,115,130,52,0,0,null
116,116,790,367,2147483647,4,54,35,true,107,166,3,,116,Go to PPill,,116,490,36,0,0,null
117,117,820,379,52,4,87,23,true,95,163,3,,117,Go to PPill,,117,530,52,0,0,null
118,118,850,391,40,4,78,5,true,83,160,3,,118,Go to PPill,,118,560,68,0,0,null
119,119,1280,403,28,4,86,47,true,71,157,3,,119,Go to PPill,,119,130,68,0,0,null
120,120,1350,431,2147483647,4,30,83,true,43,150,3,,120,Go to PPill,,120,60,68,0,0,null
121,121,1410,459,2147483647,16,26,43,true,15,144,3,,121,Go to PPill,,121,0,68,0,0,null
122,122,1410,471,2147483647,4,61,97,true,3,144,3,,122,Go to PPill,,122,0,108,0,0,null
123,123,1410,499,2147483647,32,61,2147483647,false,0,144,3,,123,Run Away,,123,40,96,0,0,null
124,124,1410,527,2147483647,4,50,2147483647,false,0,144,3,,124,Go to PPill,,124,70,80,0,0,null
125,125,1410,579,2147483647,4,10,2147483647,false,0,144,3,,125,Go to PPill,,125,130,52,0,0,null
126,126,1450,595,57,4,78,2147483647,false,0,140,3,,126,Go to PPill,,126,120,48,0,0,null
127,127,1480,607,2147483647,4,54,2147483647,false,0,137,3,,127,Run Away,,127,120,48,0,0,null
128,128,1540,631,2147483647,4,42,2147483647,false,0,131,3,,128,Run Away,,128,230,76,0,1,null
129,129,1570,643,36,4,42,2147483647,false,0,128,3,,129,Go to PPill,,129,230,76,0,1,null
130,130,1600,655,24,4,42,2147483647,false,0,125,3,,130,Go to PPill,,130,290,100,0,1,null
131,131,1770,707,88,4,2147483647,62,true,171,113,2,,131,Go to PPill,,131,150,60,0,0,null
132,132,1800,719,76,4,2147483647,44,true,159,110,2,,132,Go to PPill,,132,150,60,0,0,null
133,133,1890,755,72,4,2147483647,10,true,123,101,2,,133,Run Away,,133,110,48,0,0,null
134,134,1920,767,121,4,2147483647,4,true,111,98,2,,134,Run Away,,134,80,48,0,0,null
135,135,1950,779,109,4,2147483647,50,true,99,95,2,,135,Go to PPill,,135,50,72,0,0,null
136,136,2000,803,85,16,2147483647,14,true,75,90,2,,136,Run Away,,136,0,60,0,0,null
137,137,2000,815,73,41,2147483647,68,true,63,90,2,,137,Go to PPill,,137,0,60,0,0,null
138,138,2000,851,105,56,2147483647,54,true,27,90,2,,138,Go to PPill,,138,0,52,0,0,null
139,139,2000,863,93,44,2147483647,44,true,15,90,2,,139,Run Away,,139,0,52,0,0,null
140,140,2000,875,92,32,2147483647,30,true,3,90,2,,140,Go to PPill,,140,0,92,0,0,null
141,141,2000,903,2147483647,4,25,2147483647,false,0,90,2,,141,Go to PPill,,141,0,92,0,0,null
142,142,2000,915,2147483647,41,58,2147483647,false,0,90,2,,142,Go to PPill,,142,0,108,0,0,null
143,143,2000,967,2147483647,4,61,2147483647,false,0,90,2,,143,Go to PPill,,143,30,68,0,0,null
